XMMC,FZR,DWMC,XMJJ,XMJB,ND
基于物联网的智能灯杆及管控系统开发与应用,傅林鹤,河北亿鑫通讯设备有限公司,"      针对项目申报指南有关物联网技术（3001042）要求，重点研究面向智慧城市的物联网控制与复用技术，多传感器集成、信息融合处理，信息收发与控制技术，研究开发基于物联网的智能灯杆及管控系统，并进行示范应用，为智慧城市建设提供基础保障。
    基于物联网的智能灯杆及管控系统是智慧城市建设的重要组成部分。应用多元传感器数据采集终端、电力线载波和5G移动通信建设、光纤等通信技术相结合等各类物联网通信方式将城市中的路灯联起来，实现对路灯的远程集中控制与管理，具有根据车流量、时间、天气情况等条件设定方案自动调节亮度、远程照明控制、故障主动报警、灯具线缆防盗、远程抄表等功能。
    以城市照明路灯杆为载体，集成多元信息感知终端，采用多种通信技术，构建基于物联网的智能灯杆管控一体化云平台，实现对城市照明、城市治安、环境监测、城市执法、应急调度、公共Wi-Fi、信息发布、充电桩、5G基站等城市管理的统一指挥，全面提升市政管理水平，推进智慧城市建设步伐。",省级,2019
新型超导磁体用低漏热、高强度拉杆,盖东,承德中科亿鑫复合材料开发有限公司,"1、根据与中国科学院高能物理研究所达成的《吊杆研制协议》，对新型超导磁体所需的低漏热、高强度拉杆进行研制。
2、拉杆的技术性能指标为：
   在4.2K-300K条件下，抗拉强度大于500Mpa；导热系数小于1W/(m·K）。
3、拉杆的作用与应用：
   本项目所研制的拉杆是应用于超导磁电装备中的新型材料部件，对实现超导磁场起着至关重要的作用。超导磁电装备是我国重大装备制 造的国家战略中优先发展项目，与新材料的开发一起成为世界各科技大国竞相发展的战略性前沿科技产业，主要应用于军工、航空航天、磁悬浮高速轨道交通、超导核磁共振仪、大型尖端科研装置、水体污染治理等领域。超导磁体中设有低温容器等设备，拉杆的作用就在于连接并固定磁体、低温容器和冷屏。在磁体系统正常工作时，拉杆的主要作用为悬挂承重低温容器和冷屏，同时不散失产生超导低温系统的温度；在运输过程中，则需能够承受来自不同方向的动载力。因此设计和制造在低温状态下拉伸强度高、漏热低的拉杆成为迫切需要解决的问题。 
4、拉杆的设计
4.1、本项目所研制的拉杆将以碳纤维、玻璃纤维及其它增强材料与树脂等基材复合而成，并在两端加装不锈钢螺杆头。（详见附件图纸）
4.2、拉杆的设计直径为∮6MM，需在在4.2K-300K条件下能够承受12KN拉力。
5、研制过程中拟开展的研究项目
5.1、耐低温韧性树脂胶的研制：在4.2K-300K条件下，需满足拉伸强度大于60Mpa,模量大于3.5Gpa，导热系数小于0.5W/(m·K）。
5.2、纤维的选取：抗拉强度大于2600Mpa。
5.3、拉杆原材料配比的研究：满足拉力要求的前提下，导热系数的极小值的配比。
5.4、成型工艺的研究：成型工艺的设计及验证。
5.5、热处理及冷却工艺的研究：实现在固化完全的基础上抗拉强度最大的研究目标。
6、拉杆性能的检测验证。",省级,2016
基于数据跟踪与大数据分析的专线网络数据核准系统研究,甘莉莉,邢台学院,"            互联网专线业务规模相当大，但在运营中存在一些未解决的问题。（1）未部署计费接口，不易管控。目前专线业务计费接口未部署，营业系统与城域网设备之间无法实现指令互传，所有业务需以工单流转的方式由后台人员手工完成。一是存在开通缺少管控，二是存在缺少计费管控。（2）手工稽核存在诸多问题。为确保互联网专线业务能正常平稳发展，在特定的周期范围内对互联网专线业务进行三方资料核对，如何能够准确、快捷、可靠的实现数据提取是摆在维护工作人员面前的一道难题。（3）专线历史使用情况无法调取。由于互联网专线业务在信息化系统中不存在话单的概念，因此历史使用情况在维护系统和计费系统中都无法体现。（4）专线网络没有客户流失预测。 
首先通过信息提取和信息处理的自动化进行，建设结构化数据库系统和数据可视化解决了前三个问题，实现了自动流程控制，实现了互联网专线三方核对工作的常态化，通过用ARP信息作为话单进行长期存储，实现了互联网专线业务话单的功能。
其次分析用户的关键指标，建立流失预警模型，得出流失预警算法规则和最终输出离网预警名单，并且聚类分析研究流失用户特征，制定针对性维系策略。
",省级,2018
卫星通信地面终端射频前端芯片研发,高博,河北新华北集成电路有限公司,"           鉴于国内外低轨卫星通信系统的迅速发展，应用于低轨卫星的地面终端的射频芯片具有广阔的市场前景。但是国内关于该类应用的专用射频芯片缺乏，并没有成熟产品，研发落后于国外，而各类通用型射频芯片，满足不了目前卫星通信专网的需要，因此该项目的研发有非常大的必要性。
           针对国内低轨卫星通信应用，本项目将研发四款专用的卫星通信射频芯片。L频段功放芯片基于GaAs HBT工艺，其饱和输出功率大于35dBm，效率大于40%，专用于手持终端设备，Ka频段功放芯片基于GaN pHEMT工艺，其饱和输出功率大于38dBm，效率大于26%，专用于各类移动或者固定卫星通信设备。L频段和Ka频段低噪放芯片，均采用GaAs  pHEMT工艺，噪声系数分别小于0.7dB和1.8dB。低噪声放大器设计中，考虑了系统低功耗和低电压应用需求，拟采用3.3V或者5.0V电压设计。这些设计可以有效的降低通信系统的功耗，增加通信系统的通信时长和电池寿命。这两款芯片的性能将达到国内领先水平，满足低轨卫星应用需求。
           本项目的研发团队拥有丰富的射频芯片研发经验，且拥有多款功率放大器和低噪声放大器的成功研发案例。可为本项目的实施提供良好的技术保障。
",省级,2019
基于移动物联技术的停车服务系统,高海明,河北轩宇文化传播有限公司,"  本项目应用现代电子信息技术，以智能手机、手机咪表为车位信息载体，以手机
终端软件为车位信息查询接口，以无线读取技术为采集手段，开发停车信息智能
服务系统。以期在城市公共资源信息领域开创高效的信息化应用示范，创新城市公共资源的社会管理。主要研究内容有4个：
1、手机端APP开发：该软件具有查询停车信息，预订车位，网上付款等功能。 
2、手机咪表智能交互设备的自主研发：
停车服务系统自主研发适合停车场使用的手机咪表智能交互设备.
3、二维码生成器：自主研发停车二维码生成器记录停车场的名称，地理位置，联系方式等信息，停车系统将为每一个停车场都配备一个独一无二的二维码，用户只需要扫描二维码就可以快速获取相关的停车场信息。
4、大数据中心和云物联：建立一个强大的数据中心，数据中心不仅仅只是记录、储存、传送和呈现系统所需数据，同时也会对用户的行为数据进行采集、分析和整合，而这些海量数据行为都会采用云计算的方式进行。停车系统中的云计算和物联网的相结合构成了云物联，系统开发与云平台有机结合，适应运算能力、存储能力的动态变化，可以满足大量用户的使用，包括数据存储结构和处理能力，具备更高要求的安全性，可以抗攻击和保护私有信息。",省级,2016
离心铸造轧辊冷型涂料自动喷涂系统关键技术研究,高军芳,邢台职业技术学院,本项目主要研究内容是离心铸造轧辊冷型涂料的自动喷涂，将传统的以人工控制为主的冷型涂料喷涂方法改为喷涂系统自动控制的喷涂方法，将涂料喷头装卡在自动移动杆上，自动杆水平移动，移动速度可无级变速，冷型放置在自动旋转机构上，喷涂时冷型旋转，自动杆根据设定速度带动喷头运动，实现涂料自动喷涂。,省级,2018
一种棉花采样机械手的研制,高军霞,唐山学院,"本项目针对大批量已做好标准切口的密实棉包，研制一种能够在严禁烟火的仓库环境下工作的棉花采样机械手，在安全高效的前提下实现机械自动化，改变目前纤维检验所工作人员的人工作业方式，提高工作效率，降低棉花取样成本。通过研究取样标准及现场工作技术要求，进行棉花采样机械手爪、机械手臂以及整机结构设计，并采用有限元方法进行强度和模态分析，确保结构设计的合理性。在此基础上设计满足工作要求的机械手臂动力驱动系统以及工作平台，最终完成棉包采样机械手样机试制。
本项目预期成果可以大大提高唐山市纤维检验所的棉花采样工作效率和采样的科学性、准确性，可在全国纤维检验机构推广使用，具有广泛的应用技术前景。",省级,2018
电化学法可控制备硒纳米线及其在生物传感器中的应用,高峻峰,河北民族师范学院,"    电化学生物传感器，广泛用于生命科学、环境分析、药物分析等领域。纳米材料比表面积大、催化效率高，吸附能力增强，可以作为电极表面的修饰材料或者生物分子的固定基底起到提高传感器性能的作用。
    本项目以Ni片、Cu片或石墨片为阴极，石墨片为阳极，选用适当的阳离子膜，选择SeO2、H2SeO3或Na2SeO3为硒源，电沉积制备硒纳米棒、纳米线等一维纳米材料。采用恒流、恒压和脉冲电沉积等不同方式，通过控制电位或电流以及其它工艺参数，控制硒纳米晶的形态，制备一维硒纳米微粒。通过XRD、SEM、TEM、FT-IR等对其形貌和性质进行表征。
    脱氧核糖核酸酶（DNA酶）等生物活性分子作敏感元件固定到含有硒纳米粒子的电极表面构成Se/DNA复合电极。复合电极作工作电极构成三电极系统，通过循环伏安等电化学技术，考察铅离子等重金属离子的电化学信号响应规律，实现铅离子等重金属粒子的高灵敏度和高选择性检测。
",省级,2016
谷物营养早餐开发及加工,高利乐,华戈五谷控股有限公司,"<p style=""margin-left: 15px; text-indent: 40px; text-align: left; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span></p><p style=""text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">近年来，县委县政府把打造一批龙头企业作为做大做强农业产业的关键来抓，同时狠抓高产优质、精深加工与标准化生产技术，促进谷物产量指标跃上新台阶，形成明确的“原料减损保值→精深加工→销售”的产业链条格局发展特色。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p><p style=""text-align: justify; text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">本项目以华戈五谷控股有限公司为依托和中国农业大学李全宏教授团队合作，通过“谷物营养早餐开发及加工创新应用平台”组建谷物深加工研发团队，研发提升谷物营养早餐加工技术，彻底摆脱谷物加工附加值不高的局面。使农业生产优化升级，有效提升农业生产技术水平和生产效益。充分发挥现代农业科技园区的龙头带动作用。</span></p><p style=""text-align: justify; text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">通过完善科技服务平台建设，为农业生产发展提供标准化技术体系，示范推广，辐射全县。</span></p><p style=""text-align: justify; text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">为产业发展提供全程科技服务。通过产供销一体化、“公司+基地+农户”等形式，促进谷物种植及精加工的产业化经济发展。争取在较短的时间内把园区的谷物早餐加工项目发展为区域内具有较大影响力的示范项目。</span></p><p style=""margin-left: 0px; text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">主要实施内容：</span></p><p style=""text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">1.搭建谷物营养早餐产业技术开发和加工创新平台，成立教授工作站。</span></p><p style=""text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">2.组建产学研结合的专家人才团队，研发谷物早餐加工的关键性技术。</span></p><p style=""text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;"">3.以谷物早餐食品产业化开发为龙头，建设加工示范基地，形成一个典型案例。</span></p><p style=""margin-left: 15px; text-align: left; text-indent: 2em; line-height: 2em; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 仿宋, SimSun; font-size: 20px;""><br></span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><br></p>",省级,2021
基于北斗高精度定位的高速公路边坡变形远程自动化实时监测技术研究,高岭,河北省交通规划设计研究院有限公司,本项目围绕高速公路边坡远程自动化实时监测技术，在研究高速公路边坡变形破坏类型和监测布点方法的基础上，利用北斗高精度定位终端设备采集边坡关键点的位移变化数据，并提出监测数据的降噪方法，进而基于北斗监测数据和智能算法提出高速公路边坡有害变形预警方法，从而为高速公路的长期安全运营提供技术保障。项目研究成果可推广至高速公路其他重要构筑物的变形监测中，从而可显著提升高速公路安全管理的信息化、自动化水平。,省级,2018
功能化石墨烯基矿用材料研究,高明,华北科技学院,石墨烯具有良好的热稳定性、高比表面积、易改性的表面化学等优良特性，使其已成为负载无机材料的优良载体。石墨烯材料杂化后将获得比个体材料更为丰富和独特的性能，同时可减弱片层之间的范氏引力，避免石墨烯片层的团聚。为了充分发挥石墨烯的优异性能，提高其在基体中的分散性等，本项目对石墨烯表面引进特定的官能团，从而进一步提高矿用材料的阻燃及其他性能。该研究的深入开展，不仅有利于高效、绿色新型阻燃剂的开发应用，为阻燃剂的无卤化及绿色化贡献力量；而且寻找有效地改性石墨烯的方法，并将其与基体复合具有重要的现实意义，对石墨烯的实际应用有积极的促进作用。本项目以华北科技学院石墨烯安全复合材料研究创新团队和防火安全材料研究所为科研平台，自筹经费，结合校内科研项目前期的研究基础，开展课题研究。,省级,2017
耐热玻璃公共技术研发平台建设,高明亮,河北明尚德玻璃科技股份有限公司,耐热玻璃公共技术研发平台建设项目是尚德玻璃科技企业孵化器的一个在建项目，该平台建设内容包括耐热玻璃专业人才的引进，购置应力检测仪、耐热冲击测试仪等试验检测设备，建立研发实验室、产品检测室。该项目建成后主要围绕耐热玻璃产业中涉及的玻璃原材料、生产工艺技术及耐热玻璃产品进行创新研发及应用推广进行服务。为耐热玻璃企业提供新材料应用指导、工艺技术辅导培训及产品检验检测服务.从而提高耐热玻璃企业的生产技术水平，推动整个耐热玻璃行业的快速发展。,省级,2017
超高韧性纤维增强水泥基复合材料多轴疲劳性能研究,高淑玲,河北工业大学,本项目通过三种多轴实验方法（定侧压下压缩疲劳试验、定侧压下拉伸疲劳试验、双轴拉伸试验），旨在掌握ECC在多轴荷载下服役时的实际疲劳性能和耐久性能，首先应当建立其多轴受力条件下受拉及受压本构模型，分析其应变硬化效果如何变化，多缝开裂行为是否存在，纤维与基体的相互作用受到何等程度影响；其次，研究其多轴条件下的疲劳性能，分析纤维的桥联作用与单轴作用的区别；应通过实验和工程实测相结合，确定ECC在多轴疲劳下材料的宏观力学参数的概率模型（如剩余强度退化的概率模型等）。目前已有研究证实ECC在单轴疲劳作用下ECC的寿命、强度概率分布模型为对数正态分布或威布尔分布。众所周知目前对于结构的设计大部分都是基于可靠度理论的，因此基于概率的角度，建立ECC在多轴疲劳下的强度寿命模型，损伤累积规律等。并通过微观扫描（SEM）、无损检测（工业CT）、数字相关技术（DIC）等方法研究多轴下ECC的微观结构变化、纤维在多轴疲劳中的断裂与粘结滑移，损伤情况，进而对多轴环境中的ECC的组分合理设计与定制，研发出能够用于不同多轴疲劳环境下的高性能、高耐久性ECC，进而指导实际工程应用。,省级,2019
香菇四季绿色高效栽培技术应用与示范,高树满,平泉市瀑河源食品有限公司,      本项目针对目前中国北方地区食用菌生产应用传统的架式栽培设施的空间利用率低、产优质菇率低、出菇时间受气候制约等缺点，研究高效、优质、绿色节能的架式香菇栽培设施，满足全年生产优质菇的需求成为一种必然需求。" 一种可周年化生产食用菌的温室大棚（ZL 2014 1 0853773.4）"打破所栽培菌类或其他植物自然生长休眠的规律，在充分利用自然条件的基础上，以满足食用菌栽培条件为前提，通过对食用菌棚室进行结构调整和优化，辅以节能措施，从空间利用、温湿度控制等方面提高栽培设施性能。项目设计建设试验栽培棚室8座，示范棚室32栋，全年可根据市场行情调节出菇时间，产优质香菇245万公斤，实现销售利润257万元以上。,省级,2020
DJ1000型架桥机,高素斌,邯郸中铁桥梁机械有限公司,"    DJ1000型架桥机用于架设时速350公里和250公里预制无碴预应力混凝土简支箱梁，适用于40米及以下跨度的高速铁路及城市轻轨桥梁。预应力混凝土简支箱梁重量小于等于1000吨，适应纵坡30%，曲线半径大于等于1200米。
   该机由机臂、零号柱、一号柱、二号柱、三号柱、曲梁、吊重行车、动力托架、电液控制系统和智能监控系统等组成。在作业功能方面，（1）所有柱体通过顶升油缸实现升降以满足坡桥的不同高差变化；（2）机臂在主承重柱体上横梁上横向移动实现曲线桥施工；（3）柱依靠吊重行车行走机构齿轮驱动机臂下翼缘的双列齿条实现架梁工况下的梁片纵移和过孔工况下的柱体或机臂纵移；（4）二号柱与机臂、二号柱横梁与柱体之间的双旋转功能满足通过隧道以及隧道口桥台胸墙后2.5米空间架梁；（5）三号柱能够向后翻转以实现架梁作业时梁片通过和架桥机通过隧道需要。
    与双臂架桥机比较，机臂上下升降，前后伸缩，左右摆头的独特功能在高铁和轻轨多种类型复杂工况桥梁施工的适应性、运输组装和施工效率方面优势突出。
    综上所述，该机具备适应架设多种跨度多类型桥梁；满足桥隧相连线路工况下不解体通过隧道以及隧道口架设桥梁；适应小曲线大坡道特殊工况等多项功能特点。该机同时具有远程遥控、故障诊断、智能报警、自锁保护和自动停机等多项功能。",省级,2019
新型阻燃型聚氨酯弹性体复合材料的研制,高维英,中国人民武装警察部队学院,"    聚氨酯弹性体(TPU)由于具有高强度，高韧性，耐磨等橡胶与塑料的双重特点而广泛应用于建筑、汽车工业、机械装置以及航天等工业生产和日常生活的各个领域。然而由于具有普通塑料制品的易燃性，并且燃烧时会产生大量的熔滴，极易使火势迅速蔓延，使其在很多领域的应用受到了限制，因此，聚氨酯弹性体材料的阻燃研究显得尤为迫切和必要。聚磷酸铵由于具有环保、高效的特点，是目前应用最广的添加阻燃剂之一，但聚磷酸铵存在易吸潮，和基体树脂相容性差，易迁移等缺点，使其阻燃的聚氨酯复合材料的防火持久性和力学性能显著下降。本课题针对以上问题应用酚醛树脂衍生物对聚磷酸铵进行微胶囊化表面改性，开发疏水性好、阻燃效率高、和基材性能相容性好，且价格低廉的聚磷酸铵微胶囊。并将其应用在聚氨酯弹性体中，研发基于新型聚磷酸铵微胶囊的阻燃型聚氨酯弹性体复合材料，该材料具有优异的耐火性能、力学性能和耐水性能。
    研究内容主要包括两个方面：一是阻燃剂聚磷酸铵微胶囊壳材的设计、制备及性能研究，重点研究壳材结构、性能、核壳配比及热处理工艺等因素对聚磷酸微胶囊疏水性、粒径分布、热重性能的影响，制备综合性能优异的聚磷酸铵微胶囊；二是阻燃型聚氨酯弹性体复合材料的制备及性能研究，重点研究复合材料的耐火性能、力学性能与聚磷酸微胶囊壳材结构的关系，确定最佳复合材料配方。
   ",省级,2016
基于大数据的移动对等网络的研究,高晓燕,华北科技学院,针对目前大数据下的对等网络缺乏服务质量的机制和策略，将服务质量引入到这样一个实时动态的对等网络，用来优化对等网络服务，屏蔽服务的无效搜索操作，从而达到全网优化。首先提出基于大数据的对等网络服务网络体系结构，然后在这个体系结构下进行一系列关键技术研究，研究的内容包括：（1）针对基于大数据的对等服务网络的拓扑结构构造问题，将对等服务网络分为对等自治层和对等主干核心层两层结构。提出对等自治层的节点的聚集算法，解决了对等主干核心层的构造问题。（2）提出了面向大数据的对等网络服务分簇的路由的模型，分别研究了簇内和簇间的数据服务路由问题。（3）结合服务属性和对等网络特点，提出一种基于大数据服务发现算法。,省级,2018
苯基乙烯基砜的合成工艺研究,高雅男,河北化工医药职业技术学院,"      

     苯基乙烯基砜(phenyl vinyl sulfone)，简称PVS，是一个重要的化学中间体，在合成、医药、领域都有着重要用途，尤其发现其作为锂电池电解液添加剂可以有效提高电池使用效率和寿命后，其市场需求量更是大幅提升，但针对它的实验室合成方法报道多见于外文文献，且合成产率不高，原料昂贵，并不适于工业生产。本课题小组以“原子经济性”原则为指导，计划设计出一条绿色，节能的合成工艺路线，整个反应使用现代色谱技术中控反应进程，这样使得成本和能耗都降到了比较低的程度。PVS的合成工艺研究的顺利完成，对尽早突破、掌握PVS的合成技术，实现该产品的国产化将起到重要的作用。",省级,2016
基于多特征和深度学习的商品图像分类,高彦彦,石家庄学院,"计算机网络的出现对现代社会结构产生了深远的影响。随之而来的电子商务的迅猛发展使人们的生活发生巨大的变化，网购人群的数量正指数增长，购物方式从传统的实体店购买转变成购物网站购买，从而引发了各购物网站的商品图像数量的激增，而这无疑为用户在海量的商品中挑选心仪的物品增加了难度。因此对此类问题的研究探讨，不仅具有理论价值，更具有重要的实际应用价值。为了能够更好地实现商品图像自动分类，促进电子商务的智能化发展，本课题主要侧重研究商品图像的多特征表示与融合，完成图像的自动分类。系统的基本思想是根据图像所包含的颜色，纹理，形状及对象的空间关系等信息，建立图像的特征矢量，根据图像的多维特征矢量，利用分类器实现图像分类。
目前，图像的特征提取可分为局部和全局特征两大类。本课题旨在对现有的多种特征进行调查研究，从人类视觉认知出发，引入视觉注意机制，得到商品图像的显著图；在此基础上，考虑多个特征在融合过程中的权重，拟进行特征级融合和决策级融合两种算法，研究其对商品图像分类准确率的影响。另外，考虑深度学习在商品图像分类中的应用，进而将显著性的先验知识融合到层次结构中，从而改善图像分类的结果。",省级,2018
二烯烃柔性深冷绝热材料,高永涛,河北金威新型建筑材料有限公司,"      本项目为持续有效防止结露的专业柔性绝热材料。低导热系数和高抗水汽渗透能力的结合使该产品能长期减少能耗和抵御水汽渗透；精细发泡技术构成了阻止水汽渗透的连续屏障
，得益于无数独立的闭泡结构，使整个厚度方向上具备了持续的防潮性能；在具备稳定可靠的绝热性能和品质的同时，进一步提升了材料在防结露、防火安全、防霉抗菌、吸引降
噪方面的功效；可制成管材和板材，阻燃等级达到B1级（G B 8624）；可广泛应用于LN G 冷能利用、LN G 液化工厂、LN G 加气站、天然气处理站、中石化依稀化工厂应用，氮
工厂应用、低温绝热系统采用金属外护；煤制天然气、煤制甲醇、合成氮、LN G 运输船内部管道，煤层气液化管道。",省级,2017
系列专利技术生产复合枣酪营养饮料成果转化,高运军,沧州金利源食品饮料有限公司,本公司于2019年5月，授权实用新型专利2项，分别为：ZL201821496334.2/ZL201821496335.7；于2018年8月31日，通过转让获得"ZL201310518848.9"发明专利1项。本项目将该1项发明专利技术和2项实用新型专利技术进行成果转化，运用利用枣酪饮料新的制备方法，采用选择性分子印迹吸附树脂分离提取技术，对枣中有效成份进行高效富集与纯化，生产过程中对枣核、枣皮中的黄酮等有效成分，进行了最大限度的分离提取，做到了资源的循环利用，并最大程度地保留枣中的营养成分，使得饮料更营养、更健康。,省级,2020
强筋冬小麦新品种选育与种质创新,高振贤,石家庄市农林科学研究院,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span></p><p style=""text-indent: 37px; line-height: 150%; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 19px;line-height: 150%""></span></p><p style=""white-space: normal; text-indent: 37px; line-height: 24px; font-family: 宋体, SimSun; font-size: 16px; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 19px; line-height: 28.5px;"">本项目由石家庄市农林科学研究院、中国科学院遗传与发育生物学研究所、河北农艺种业有限公司共同完成。利用</span><span style=""font-size: 19px; line-height: 28.5px;"">高分子量麦谷蛋白（HMW-GS）检测、</span><span style=""font-size: 19px; line-height: 28.5px;"">重测序和基因芯片分析的方法，结合田间表型，从亲本库中筛选出携带最多优异等位变异的单倍型，做待改良亲本（轮回亲本）；同时根据育种目标筛选配合力高，且携带待改良亲本所缺的优异等位变异材料作为供体亲本与待改良亲本杂交，用待改良基因或位点直接相关或连锁的分子标记对后代材料的产量、品质、抗性、适应性进行跟踪选择。通过田间表型选择、抗性鉴定、分子标记跟踪、品质检测、快速繁育等技术综合运用，将分散于多个育种材料中的有利基因聚合，培育强筋专用新品系。苗头品系通过产量和抗性鉴定、适应性选择、食品加工评定等，筛选综合农艺性状优良、产量潜力大、抗逆性强、适应性广的筋小麦新品种。</span></p><p style=""white-space: normal; text-indent: 37px; line-height: 24px; font-family: 宋体, SimSun; font-size: 16px; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 19px; line-height: 28.5px;"">常规育种与分子标记辅助选择相结合，培育综合性状优良的强筋、中强筋小麦品种1-2个、新种质4-5个；建立分子标记、品质检测、恒温恒湿光照生长室加代与常规育种结合的高效综合育种技术体系及平台；申请植物品种权1-2项，发表论文2篇。建立高产示范田1个。符合绩效总目标中产、学、研、企联合、京冀合作优先条件。</span></p><p style=""text-indent: 37px; line-height: 150%; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2020
增材制造（3D打印）钛合金粉末研制,高正江,中航迈特粉冶科技（固安）有限公司,"增材制造被称为引发第三次工业革命的智能制造技术。金属零件的增材制造是整个增材制造体系中的前沿和关键。球形金属粉末是金属增材制造的原材料，也是制约增材制造技术发展的瓶颈。我国在增材制造用球形金属粉末关键技术方面发展相对滞后，产业基础薄弱，极大阻碍了我国航空航天增材制造技术产业的发展。
为了在高品级球形金属粉末制备方面实现突破，本项目采用企业自主研发设计的大容量电极感应气雾化设备，深入开展感应线圈设计、喷嘴结构优化和雾化制粉工艺等相关研究，研制出符合航空航天领域增材制造专用材料标准的球形钛合金粉末，形成一整套自主知识产权，填补我国在球形钛合金粉末制备工艺技术上的空白，实现增材制造关键金属材料的自主国产化。
本项目由中航迈特粉冶科技（固安）有限公司主持，河北科技大学为合作单位。预计项目实施后，将为河北地区经济发展做出贡献，有望形成产值1.5亿元，实现纳税3000万元，吸引一批国内外高层次技术人才，解决200人就业。",省级,2017
新型薄膜太阳电池材料及低成本绿色合成工艺,高志华,衡水学院,CuInS2是一种非常有潜力的半导体太阳能电池材料，其禁带宽度与太阳光谱相当，光吸收系数大，理论转换效率高。构成P-N结的光吸收层CuInS2薄膜和缓冲层CdS薄膜是CuInS2薄膜太阳电池研究的关键材料。本项目主要从低成本制备和环境友好绿色合成角度出发，旨在探索无镉缓冲层和大面积CuInS2薄膜的非真空制备工艺路线。具体内容如下：1. 无镉缓冲层In2S3薄膜的化学水浴沉积条件探索及其反应机理研究。首先从衬底的预处理着手，采用硅烷偶联剂修饰玻璃衬底，以柠檬酸为络合剂系统研究沉积条件对薄膜组成、形貌及光学性能的影响，探索出沉积薄膜的最佳工艺。探讨不同pH值条件下薄膜的形成机理。2. CuInS2单分散纳米晶的制备。纳米晶是墨水涂敷法制备CuInS2薄膜的前提和基础，采用高温热注入的方法制备CuInS2纳米晶，考察热注入温度、不同溶剂和配位剂等对纳米晶尺寸和形貌的影响。3. CuInS2薄膜的退火工艺探索及其性能研究。本项目采用配体交换和硒化退火相结合的方法，降低了纳米晶表面的碳含量，促使CuInS2纳米晶的晶格膨胀，有利于获得大晶粒的薄膜，降低载流子的输运势垒，从而提高薄膜的电导率。,省级,2018
